region,round,team1,seed1,score1,team2,seed2,score2,winner,year
East,First Round,Virginia,6,78,Manhattan,11,66,Virginia,1993
East,First Round,UMass,3,54,Penn,14,50,UMass,1993
East,First Round,New Mexico State,7,93,Nebraska,10,79,New Mexico State,1993
East,First Round,Cincinnati,2,93,Coppin State,15,66,Cincinnati,1993
East,Second Round,UNC,1,112,Rhode Island,8,67,UNC,1993
East,Second Round,St. John's (NY),5,74,Arkansas,4,80,Arkansas,1993
East,Second Round,Virginia,6,71,UMass,3,56,Virginia,1993
East,Second Round,New Mexico State,7,55,Cincinnati,2,92,Cincinnati,1993
East,Sweet Sixteen,UNC,1,80,Arkansas,4,74,UNC,1993
East,Sweet Sixteen,Virginia,6,54,Cincinnati,2,71,Cincinnati,1993
East,Elite Eight,UNC,1,75,Cincinnati,2,68,UNC,1993
Midwest,First Round,Indiana,1,97,Wright State,16,54,Indiana,1993
Midwest,First Round,New Orleans,8,55,Xavier,9,73,Xavier,1993
Midwest,First Round,Oklahoma State,5,74,Marquette,12,62,Oklahoma State,1993
Midwest,First Round,Louisville,4,76,Delaware,13,70,Louisville,1993
Midwest,First Round,California,6,66,LSU,11,64,California,1993
Midwest,First Round,Duke,3,105,Southern Illinois,14,70,Duke,1993
Midwest,First Round,BYU,7,80,SMU,10,71,BYU,1993
Midwest,First Round,Kansas,2,94,Ball State,15,72,Kansas,1993
Midwest,Second Round,Indiana,1,73,Xavier,9,70,Indiana,1993
Midwest,Second Round,Oklahoma State,5,63,Louisville,4,78,Louisville,1993
Midwest,Second Round,California,6,82,Duke,3,77,California,1993
Midwest,Second Round,BYU,7,76,Kansas,2,90,Kansas,1993
Midwest,Sweet Sixteen,Indiana,1,82,Louisville,4,69,Indiana,1993
Midwest,Sweet Sixteen,California,6,76,Kansas,2,93,Kansas,1993
Midwest,Elite Eight,Indiana,1,77,Kansas,2,83,Kansas,1993
West,First Round,Michigan,1,84,Coastal Carolina,16,53,Michigan,1993
West,First Round,Iowa State,8,70,UCLA,9,81,UCLA,1993
West,First Round,New Mexico,5,68,George Washington,12,82,George Washington,1993
West,First Round,Georgia Tech,4,78,Southern,13,93,Southern,1993
West,First Round,Illinois,6,75,Long Beach State,11,72,Illinois,1993
West,First Round,Vanderbilt,3,92,Boise State,14,72,Vanderbilt,1993
West,First Round,Temple,7,75,Missouri,10,61,Temple,1993
West,First Round,Arizona,2,61,Santa Clara,15,64,Santa Clara,1993
West,Second Round,Michigan,1,86,UCLA,9,84,Michigan,1993
West,Second Round,George Washington,12,90,Southern,13,80,George Washington,1993
West,Second Round,Illinois,6,68,Vanderbilt,3,85,Vanderbilt,1993
West,Second Round,Temple,7,68,Santa Clara,15,57,Temple,1993
West,Sweet Sixteen,Michigan,1,72,George Washington,12,64,Michigan,1993
West,Sweet Sixteen,Vanderbilt,3,59,Temple,7,67,Temple,1993
West,Elite Eight,Michigan,1,77,Temple,7,72,Michigan,1993
National,Final Four,UNC,1,78,Kansas,2,68,UNC,1993
National,Final Four,Kentucky,1,78,Michigan,1,81,Michigan,1993
National,Championship,UNC,1,77,Michigan,1,71,UNC,1993
