Rk,School,G,W,L,W-L%,SRS,SOS,,Conf_W,Conf_L,,Home_W,Home_L,,Away_W,Away_L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
105,Iowa NCAA,32,23,9,0.719,19.75,8.14,,11.0,7.0,,15,1,,5,7,,2507,2093,,,,0.478,0.172,0.545,57.4,51.5,,11.8,0.5,17.5,,0.337
106,Iowa State NCAA,31,20,11,0.645,18.65,8.05,,8.0,6.0,,16,0,,3,8,,2520,2159,,,,0.317,0.279,0.566,48.6,59.5,,5.4,0.531,16.6,,0.24
107,Jackson State,34,25,9,0.735,0.73,-3.64,,13.0,1.0,,12,1,,8,6,,2884,2651,,,,0.402,0.234,0.538,52.7,47.6,,12.2,0.507,19.1,,0.267
108,Jacksonville,27,5,22,0.185,-6.43,0.54,,3.0,15.0,,4,10,,1,11,,1915,2099,,,,0.409,0.232,0.49,49.9,46.2,,7.5,0.46,24.3,,0.251
109,James Madison,30,21,9,0.7,9.37,0.27,,11.0,3.0,,13,1,,5,7,,2413,2140,,,,0.467,0.25,0.604,51.8,43.6,,8.2,0.569,18.1,,0.34
110,Kansas NCAA,36,29,7,0.806,22.3,10.88,,11.0,3.0,,13,2,,7,2,,3037,2510,,,,0.39,0.245,0.595,51.7,61.9,,6.5,0.565,17.0,,0.28
111,Kansas City,27,15,12,0.556,-1.41,-2.19,,,,,12,3,,3,8,,2142,2016,,,,0.341,0.253,0.552,48.1,52.6,,7.0,0.525,16.0,,0.232
112,Kansas State NCAA,30,19,11,0.633,9.85,6.91,,7.0,7.0,,12,3,,5,6,,2109,2009,,,,0.331,0.265,0.517,53.7,58.5,,3.8,0.488,19.0,,0.221
113,Kent State,27,10,17,0.37,-5.26,-2.26,,7.0,11.0,,7,6,,2,10,,1742,1823,,,,0.343,0.278,0.543,48.2,63.7,,3.8,0.51,20.5,,0.242
114,Kentucky NCAA,34,30,4,0.882,26.9,9.23,,13.0,3.0,,16,0,,8,3,,2975,2374,,,,0.359,0.395,0.582,54.0,63.5,,10.7,0.558,17.5,,0.247
115,La Salle,27,14,13,0.519,-0.02,2.56,,9.0,5.0,,8,4,,4,6,,1833,1894,,,,0.343,0.405,0.489,48.2,56.9,,9.4,0.457,16.6,,0.223
116,Lafayette,27,7,20,0.259,-14.39,-6.24,,4.0,10.0,,5,7,,2,12,,1804,2012,,,,0.337,0.176,0.498,50.4,46.2,,3.8,0.458,18.9,,0.239
117,Lamar,27,15,12,0.556,6.56,-1.82,,9.0,9.0,,10,4,,5,7,,2384,2147,,,,0.39,0.38,0.55,49.1,60.5,,4.5,0.514,16.0,,0.275
118,Lehigh,27,4,23,0.148,-16.26,-6.53,,2.0,12.0,,3,9,,1,12,,1994,2253,,,,0.399,0.165,0.52,47.4,56.2,,5.9,0.479,21.5,,0.279
119,Liberty,30,16,14,0.533,-9.01,-10.29,,9.0,7.0,,10,3,,6,8,,2315,2127,,,,0.392,0.259,0.564,52.8,61.2,,6.7,0.535,18.3,,0.267
120,Little Rock,27,15,12,0.556,-3.32,-0.24,,10.0,8.0,,10,2,,5,7,,1859,1935,,,,0.419,0.252,0.527,50.3,53.8,,6.7,0.483,21.4,,0.298
121,Long Beach State NCAA,32,22,10,0.688,8.25,2.39,,11.0,7.0,,13,2,,6,7,,2512,2275,,,,0.432,0.286,0.573,50.8,62.1,,4.7,0.54,18.8,,0.3
