Rk,School,G,W,L,W-L%,SRS,SOS,Conf_W,Conf_L,Home_W,Home_L,Away_W,Away_L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
245,St. John's (NY) NCAA,32,22,10,0.688,11.28,6.76,13.0,5.0,12,5,9,3,72.9,68.2,40.8,25.6,58.4,0.439,4.53,14.1,0.322,17.1,26.7,0.641,17.6,42.3,14.5,7.47,4.06,16.5,19.3
246,Stanford NCAA,35,30,5,0.857,18.95,8.12,15.0,3.0,11,2,10,2,80.2,68.3,,27.1,59.4,0.455,7.49,18.3,0.408,18.6,25.2,0.738,14.5,41.3,16.3,5.23,3.17,13.7,18.3
247,Stephen F. Austin,26,10,16,0.385,-14.37,-6.29,6.0,10.0,8,4,2,12,71.5,78.0,,25.2,58.3,0.433,5.12,16.2,0.315,15.9,23.1,0.69,12.6,34.2,14.5,8.85,2.12,16.4,19.4
248,Stetson,26,11,15,0.423,-12.28,-8.24,8.0,8.0,7,5,4,9,69.8,73.0,,23.7,55.6,0.426,5.12,15.0,0.34,17.3,24.8,0.699,13.7,36.2,12.7,5.5,1.62,14.3,19.4
249,Syracuse NCAA,35,26,9,0.743,11.87,7.98,12.0,6.0,12,4,9,2,70.9,67.0,40.3,24.8,56.9,0.435,5.69,17.3,0.329,15.7,23.2,0.676,14.0,38.0,15.8,9.54,5.66,15.9,17.1
250,TCU NCAA,33,27,6,0.818,22.29,2.7,14.0,0.0,16,1,9,1,97.2,77.9,40.3,37.0,74.6,0.495,6.36,17.3,0.367,16.9,23.1,0.733,17.1,44.4,19.7,11.1,3.97,15.4,18.2
251,Temple NCAA,30,21,9,0.7,12.5,7.5,13.0,3.0,10,4,9,3,65.7,60.7,40.2,22.3,55.4,0.402,7.2,22.0,0.327,13.9,20.6,0.676,13.2,34.6,11.3,10.7,4.33,11.8,16.1
252,Tennessee NCAA,29,20,9,0.69,11.15,5.91,9.0,7.0,14,2,5,5,75.9,70.6,,26.1,61.2,0.426,7.14,18.9,0.378,16.5,25.7,0.643,13.5,38.9,13.5,8.28,6.0,15.6,20.1
253,Tennessee State,29,13,16,0.448,-9.34,-5.71,8.0,10.0,6,7,6,8,71.2,70.7,,25.3,62.2,0.407,8.55,23.7,0.36,12.0,18.1,0.663,14.0,38.5,13.0,6.93,3.28,16.5,21.4
254,Tennessee Tech,30,9,21,0.3,-18.49,-6.38,5.0,13.0,4,9,4,10,65.8,75.6,,25.9,61.6,0.42,4.0,15.0,0.266,10.1,16.8,0.599,13.2,38.2,13.9,8.37,4.83,18.5,18.2
255,Tennessee-Martin,27,7,20,0.259,-16.71,-4.36,5.0,13.0,5,6,2,12,63.3,74.1,,23.3,52.9,0.439,5.33,15.6,0.341,11.4,17.6,0.652,9.33,31.7,13.9,7.48,3.22,17.9,14.9
256,Texas,31,14,17,0.452,4.53,6.47,6.0,10.0,9,5,3,9,79.5,81.4,,27.9,64.7,0.431,7.61,23.1,0.329,16.0,23.6,0.68,15.4,40.3,14.2,7.39,6.55,16.7,22.0
257,Texas A&M,27,7,20,0.259,0.04,2.37,1.0,15.0,7,8,0,10,75.0,77.4,40.2,28.2,66.0,0.427,4.7,15.3,0.308,14.0,24.1,0.579,15.6,40.6,17.1,10.7,3.48,16.7,21.5
258,Texas Southern,31,15,16,0.484,-9.81,-7.33,12.0,4.0,7,3,5,7,75.1,76.0,,25.7,62.3,0.412,6.74,22.4,0.301,17.0,25.0,0.68,14.8,38.6,14.8,7.74,1.77,16.0,21.6
259,Texas State,28,17,11,0.607,-5.66,-8.21,10.0,6.0,9,3,6,6,72.8,69.7,,25.6,55.8,0.459,4.21,12.4,0.339,17.4,23.8,0.73,13.3,39.6,13.7,7.04,2.43,16.2,21.3
260,Texas Tech,27,13,14,0.481,4.07,5.37,7.0,9.0,8,5,5,8,77.3,78.6,40.7,26.4,58.7,0.45,7.7,20.7,0.372,16.7,24.1,0.693,10.3,36.4,14.6,6.26,3.0,14.4,19.1
261,Texas-Rio Grande Valley,27,3,24,0.111,-18.45,0.96,3.0,15.0,3,8,0,15,72.3,94.4,,26.5,64.6,0.411,6.85,23.7,0.289,12.4,19.5,0.635,11.4,31.1,14.6,10.3,1.3,18.5,23.9
262,The Citadel,28,15,13,0.536,-8.53,-9.03,6.0,8.0,9,5,5,7,64.9,62.2,,22.9,52.1,0.44,4.21,12.4,0.341,14.8,21.1,0.701,11.7,36.5,13.5,5.46,4.29,14.3,20.9
263,Toledo,27,15,12,0.556,4.55,0.2,10.0,8.0,10,3,5,9,70.6,64.8,,23.4,55.8,0.42,6.3,19.1,0.33,17.4,25.1,0.696,13.6,39.5,13.2,7.48,2.63,16.4,18.6
264,Towson,28,8,20,0.286,-5.98,-3.7,4.0,14.0,5,8,1,12,63.7,66.0,,22.1,49.9,0.444,6.04,15.9,0.379,13.4,19.7,0.681,9.71,31.6,12.9,8.04,2.0,17.0,18.5
265,Troy,27,7,20,0.259,-23.07,-9.87,5.0,11.0,5,6,1,12,70.9,81.5,,25.7,68.4,0.376,6.81,26.0,0.262,12.7,19.1,0.663,16.5,40.8,11.6,9.04,3.33,16.6,19.7
266,Tulane,29,7,22,0.241,-3.41,2.38,2.0,14.0,5,9,1,10,66.6,72.4,,23.7,60.9,0.388,5.03,17.3,0.291,14.2,23.0,0.619,16.5,39.8,12.8,9.48,5.34,19.0,21.9
267,Tulsa,31,19,12,0.613,6.41,3.18,9.0,5.0,11,4,6,6,68.2,64.9,40.5,23.3,53.5,0.435,6.81,20.0,0.34,14.8,21.6,0.684,12.9,38.4,15.0,7.55,5.06,18.5,19.3
268,UAB,33,21,12,0.636,6.88,4.66,10.0,6.0,11,4,7,6,75.2,72.2,,26.1,58.9,0.442,5.61,15.4,0.364,17.5,25.9,0.674,14.1,40.5,13.8,7.67,2.79,17.2,21.8
269,UC Irvine,27,9,18,0.333,-8.07,0.49,6.0,10.0,7,8,2,10,62.3,69.5,,20.9,52.1,0.401,6.37,19.1,0.334,14.1,19.1,0.737,9.37,30.2,12.1,8.26,1.89,16.6,20.7
270,UC Santa Barbara,26,7,19,0.269,-7.47,-0.31,4.0,12.0,5,9,2,10,71.6,76.0,,26.5,57.5,0.461,4.62,14.5,0.317,14.0,20.0,0.699,13.1,36.0,14.1,6.5,2.54,17.5,19.3
271,UCF,28,17,11,0.607,-5.09,-7.94,11.0,5.0,8,5,8,6,76.1,71.4,,28.1,59.8,0.47,4.89,14.0,0.35,14.9,22.5,0.662,13.4,38.3,15.3,9.21,4.14,16.8,21.1
272,UCLA NCAA,33,24,9,0.727,13.03,10.99,12.0,6.0,14,2,7,5,83.1,80.4,40.2,29.8,60.9,0.49,5.12,14.8,0.345,18.3,27.5,0.664,13.2,36.1,15.9,8.61,3.3,16.7,19.7
273,UNC Asheville,28,19,9,0.679,-4.27,-5.95,11.0,1.0,12,0,7,7,71.5,66.9,,25.3,55.1,0.458,4.25,12.8,0.332,16.8,26.0,0.644,14.5,38.6,14.0,8.57,5.89,17.6,17.4
274,UNC Greensboro,28,9,19,0.321,-12.69,-4.45,6.0,9.0,6,7,2,11,63.7,70.9,,23.4,54.7,0.427,4.43,13.2,0.335,12.5,17.8,0.703,13.4,36.1,12.6,5.68,2.14,16.5,19.4
275,UNC Wilmington,31,20,11,0.645,0.4,-0.08,13.0,3.0,9,0,8,11,61.9,61.5,40.3,22.3,53.5,0.416,5.77,15.7,0.367,11.6,17.4,0.666,10.8,31.7,13.0,7.16,1.55,11.6,18.6
276,UT Arlington,29,13,16,0.448,-11.35,-7.5,8.0,8.0,7,5,4,10,71.7,74.1,,25.4,58.1,0.437,6.48,19.1,0.339,14.3,20.8,0.69,13.1,35.6,14.7,6.79,1.76,15.0,18.2
277,Utah NCAA,34,30,4,0.882,17.08,4.9,12.0,2.0,13,0,10,3,70.0,57.6,,23.8,49.6,0.48,5.15,13.8,0.373,17.3,23.7,0.73,11.3,37.0,13.4,5.76,3.26,13.4,18.2
278,Utah State NCAA,33,25,8,0.758,6.54,1.44,13.0,3.0,14,0,7,7,72.0,64.8,,25.9,53.7,0.483,4.21,9.82,0.429,15.9,22.6,0.701,11.5,35.6,10.7,5.55,2.06,13.3,17.4
279,UTEP,26,12,14,0.462,0.57,2.99,3.0,11.0,10,6,2,7,64.2,65.8,40.6,22.3,54.3,0.411,4.88,15.9,0.308,14.7,22.6,0.652,11.5,36.5,12.0,5.77,3.08,12.9,19.4
280,UTSA,27,16,11,0.593,-5.93,-9.77,10.0,6.0,8,4,7,6,75.9,72.3,,27.1,59.4,0.457,6.0,18.5,0.325,15.6,25.3,0.618,13.7,39.0,15.0,8.07,4.3,16.4,20.7
281,Valparaiso NCAA,33,23,10,0.697,1.76,-2.66,13.0,3.0,10,3,7,5,73.9,68.4,,26.1,55.5,0.47,5.67,15.1,0.375,16.1,22.8,0.704,13.4,37.3,16.1,6.52,2.73,14.9,19.5
282,Vanderbilt,33,20,13,0.606,11.68,7.01,7.0,9.0,13,3,5,8,74.8,70.2,,26.9,57.6,0.467,6.03,17.3,0.348,15.0,21.2,0.706,11.7,33.5,14.2,9.91,2.42,15.8,17.5
283,Vermont,27,16,11,0.593,-2.67,-6.79,11.0,7.0,11,2,5,8,74.3,69.8,40.7,26.1,60.3,0.432,5.22,17.0,0.307,16.9,25.1,0.673,14.3,39.6,14.3,7.26,5.19,14.4,20.0
284,Villanova,29,12,17,0.414,6.75,9.06,8.0,10.0,8,6,3,10,69.8,72.1,40.7,26.1,60.7,0.43,7.28,22.0,0.331,10.3,15.7,0.655,13.7,36.7,16.3,6.97,4.59,16.6,18.2
285,Virginia,30,11,19,0.367,6.03,10.33,3.0,13.0,6,7,1,9,65.7,70.0,40.8,24.0,54.6,0.439,6.0,17.6,0.34,11.8,18.1,0.653,11.4,36.3,14.1,4.47,3.97,16.5,19.6
286,Virginia Commonwealth,28,9,19,0.321,-5.01,-1.73,4.0,12.0,7,7,1,11,63.8,67.1,40.2,23.0,55.3,0.416,5.75,18.9,0.304,12.1,18.2,0.663,13.3,36.8,13.4,6.57,3.68,16.2,16.8
287,VMI,27,14,13,0.519,-11.27,-5.66,8.0,7.0,9,4,5,8,75.4,74.9,,27.2,65.9,0.413,7.59,22.6,0.336,13.5,20.6,0.656,14.2,36.3,14.5,10.4,3.48,15.8,18.8
288,Virginia Tech,27,10,17,0.37,3.21,4.66,5.0,11.0,8,6,2,7,66.2,67.6,,24.4,56.1,0.435,5.15,15.4,0.333,12.2,18.1,0.675,12.7,35.7,12.7,6.15,4.26,15.1,20.4
289,Wagner,29,13,16,0.448,-11.54,-7.33,7.0,9.0,8,4,2,11,73.4,76.4,40.5,26.7,63.6,0.419,5.79,16.4,0.354,14.3,22.7,0.631,15.0,39.2,15.8,9.14,3.34,18.2,20.5
290,Wake Forest,30,16,14,0.533,9.62,10.36,7.0,9.0,12,6,3,6,65.8,66.5,40.2,21.5,53.1,0.405,7.83,20.6,0.38,15.0,21.4,0.699,12.4,35.3,9.93,4.37,3.47,14.0,16.9
291,Washington NCAA,30,20,10,0.667,10.28,8.28,11.0,7.0,12,2,6,7,78.6,76.6,40.3,28.1,57.6,0.488,4.9,13.9,0.353,17.5,25.3,0.694,12.2,35.5,15.4,6.53,3.8,17.6,17.0
292,Washington State,29,10,19,0.345,4.98,7.79,3.0,15.0,5,6,4,9,71.8,72.0,40.5,24.8,56.3,0.441,5.48,14.8,0.371,16.7,24.4,0.683,12.4,37.9,12.8,6.34,3.24,19.0,22.0
