Rk,School,G,W,L,W-L%,SRS,SOS,,Conf_W,Conf_L,,Home_W,Home_L,,Away_W,Away_L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
31,California,27,13,14,0.481,10.96,8.89,,5.0,13.0,,6,9,,7,5,,79.9,77.9,,,28.2,61.5,0.458,7.0,19.6,0.357,16.6,26.4,0.628,,37.1,16.5,7.78,3.96,15.9,20.6
32,Campbell,26,8,18,0.308,-17.21,-5.25,,4.0,12.0,,6,7,,2,11,,62.0,72.2,,,23.0,58.2,0.394,5.19,16.7,0.312,10.9,16.3,0.667,,32.9,12.9,5.88,2.0,14.4,17.4
33,Canisius,35,21,14,0.6,2.64,1.07,,10.0,4.0,,8,4,,11,5,,69.7,68.2,,40.0,24.3,57.7,0.422,5.77,19.1,0.302,15.3,21.1,0.727,,33.7,14.4,6.97,3.14,13.9,17.0
34,Centenary (LA),27,10,17,0.37,-11.96,-6.0,,7.0,9.0,,6,5,,3,11,,80.5,85.1,,,29.1,67.8,0.43,7.81,23.7,0.329,14.5,20.5,0.706,,36.0,17.5,8.93,3.89,14.2,19.1
35,Central Connecticut State,26,8,18,0.308,-17.73,-8.46,,6.0,12.0,,4,8,,4,10,,69.8,79.4,,40.4,26.4,59.1,0.447,3.58,12.3,0.292,13.5,21.1,0.638,,40.6,14.8,7.19,7.46,21.3,22.5
36,Central Michigan,26,3,23,0.115,-13.68,1.74,,0.0,18.0,,3,10,,0,13,,63.9,76.6,,,23.1,56.1,0.412,5.04,14.0,0.36,12.7,18.8,0.674,,32.0,9.81,4.27,1.58,14.9,19.2
37,Charleston Southern,29,19,10,0.655,-4.46,-6.49,,12.0,4.0,,8,2,,9,7,,74.1,72.1,,40.3,26.8,60.0,0.447,5.14,14.7,0.35,15.3,22.4,0.683,,40.7,13.7,7.17,3.34,16.1,19.5
38,Charlotte NCAA,28,19,9,0.679,9.28,3.56,,8.0,4.0,,10,3,,8,4,,74.5,68.8,,40.2,26.3,59.7,0.44,5.39,15.4,0.35,16.6,22.4,0.744,,40.5,15.3,6.39,5.39,14.9,20.5
39,Chattanooga NCAA,30,19,11,0.633,-1.49,-4.56,,11.0,3.0,,12,2,,4,8,,76.5,72.3,,40.2,26.0,58.1,0.447,7.63,22.5,0.34,16.9,24.4,0.693,,38.0,15.3,8.1,3.47,16.5,18.9
40,Chicago State,26,6,20,0.231,-20.14,-4.72,,6.0,12.0,,4,6,,2,14,,75.8,91.6,,,27.8,65.6,0.425,7.23,21.8,0.332,12.9,20.4,0.633,,32.8,13.2,10.3,2.35,16.8,19.4
41,Cincinnati NCAA,34,22,12,0.647,18.6,8.87,,7.0,5.0,,9,4,,7,4,,81.0,71.3,,,29.3,63.0,0.465,6.94,19.7,0.353,15.5,23.5,0.658,,40.0,16.2,6.71,3.03,15.5,21.8
42,Clemson,28,15,13,0.536,10.4,8.8,,5.0,11.0,,11,5,,3,7,,64.1,62.5,,40.0,23.3,50.9,0.458,7.04,19.8,0.356,10.5,15.0,0.696,,30.1,14.3,7.57,1.68,11.6,18.4
43,Cleveland State,27,10,17,0.37,-8.6,-2.52,,3.0,11.0,,7,5,,3,10,,73.8,78.3,,40.2,27.2,61.1,0.445,3.63,10.9,0.333,15.8,24.3,0.65,,38.9,15.1,8.96,3.37,19.2,19.9
