Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
196,Bowling Green State,MAC,,15,14,66.2,70.9,-4.69,,-0.52,,-7.79,2.94,-4.85,,,
197,Army,MAAC,,14,15,67.5,67.2,0.28,,-2.98,,-8.46,3.55,-4.91,,,
198,Howard,MEAC,,24,4,81.3,73.5,7.79,,-12.08,,-2.30,-2.88,-5.18,,,
199,Toledo,MAC,,11,17,74.0,75.1,-1.14,,-1.69,,-0.78,-4.47,-5.25,,,
200,Indiana State,MVC,,9,20,64.1,68.1,-4.00,,2.40,,-8.09,2.77,-5.32,,,
201,Northern Iowa,Mid-Cont,,13,15,72.4,73.4,-0.93,,-3.08,,-2.10,-3.32,-5.42,,,
202,Rice,SWC,,8,19,62.6,67.5,-4.93,,4.31,,-8.33,2.89,-5.44,,,
203,Miami (OH),MAC,,14,14,71.1,73.3,-2.18,,-1.99,,-3.33,-2.18,-5.50,,,
204,Northwestern,Big Ten,,7,21,62.6,75.9,-13.25,,10.04,,-7.35,1.78,-5.56,,,
205,Weber State,Big Sky,,7,22,71.9,77.9,-6.03,,2.13,,-2.05,-3.63,-5.68,,,
206,Hartford,ECACN,,14,14,65.1,66.0,-0.89,,-4.84,,-10.40,4.67,-5.74,,,
207,Louisiana,Ind,,11,17,70.7,76.6,-5.89,,1.10,,-1.49,-4.26,-5.74,,,
208,Murray State,OVC,,13,15,70.3,72.0,-1.75,,-0.99,,-6.90,0.99,-5.91,,,
209,Ball State,MAC,,9,18,74.1,77.7,-3.59,,-2.12,,-0.14,-5.83,-5.97,,,
210,American,CAA,,13,14,76.9,77.6,-0.63,,-0.98,,0.72,-6.83,-6.11,,,
211,Bucknell,ECC,,22,9,79.0,75.1,3.87,,-7.03,,0.83,-7.11,-6.28,,,
212,St. Bonaventure,A-10,,5,23,65.5,72.6,-7.07,,3.11,,-7.96,1.58,-6.39,,,
213,San Diego State,WAC,,5,25,73.7,82.5,-8.83,,2.62,,2.03,-8.68,-6.66,,,
214,Dartmouth,Ivy,,15,11,77.4,76.3,1.12,,-6.36,,-0.39,-6.32,-6.71,,,
215,The Citadel,Southern,,13,15,77.3,75.5,1.71,,-5.53,,0.17,-6.94,-6.78,,,
216,UNC Asheville,Big South,,15,11,73.8,71.0,2.73,,-7.01,,-5.55,-1.43,-6.97,,,
217,Youngstown State,OVC,,11,17,74.4,77.9,-3.46,,-2.22,,-2.40,-4.98,-7.38,,,
218,UTSA,TAAC,,13,15,79.6,78.8,0.86,,-7.21,,3.48,-10.89,-7.40,,,
219,Chicago State,Ind,,11,17,75.6,79.0,-3.32,,-0.49,,0.43,-7.91,-7.49,,,
220,Northern Illinois,Ind,,9,19,75.8,80.4,-4.61,,-0.85,,1.72,-9.32,-7.61,,,
221,Western Illinois,Mid-Cont,,12,16,78.7,78.1,0.61,,-3.71,,0.47,-8.10,-7.63,,,
222,Harvard,Ivy,,9,17,82.8,83.4,-0.65,,-5.33,,6.18,-13.93,-7.75,,,
223,Columbia,Ivy,,12,14,74.5,75.1,-0.62,,-4.55,,-4.52,-3.30,-7.81,,,
224,Lehigh,ECC,,15,14,76.8,77.1,-0.28,,-6.22,,0.35,-8.42,-8.07,,,
225,Hardin-Simmons,TAAC,,13,15,77.6,79.5,-1.96,,-5.02,,1.69,-9.86,-8.18,,,
226,Northwestern State,GSC,,15,13,69.6,68.2,1.39,,-6.78,,-8.42,0.18,-8.24,,,
227,Wagner,ECACM,,16,13,79.1,75.6,3.52,,-8.06,,3.79,-12.21,-8.42,,,
228,Drexel,ECC,,14,14,79.2,81.3,-2.07,,-6.18,,2.67,-11.11,-8.44,,,
229,Georgia State,TAAC,,11,17,81.5,80.8,0.64,,-4.04,,2.86,-11.36,-8.50,,,
230,Jackson State,SWAC,,15,14,63.3,62.7,0.55,,-8.69,,-15.53,6.74,-8.79,,,
231,Loyola (MD),ECACM,,15,14,78.8,78.1,0.72,,-7.29,,2.16,-11.14,-8.98,,,
232,Sam Houston,GSC,,16,12,71.9,71.4,0.57,,-8.81,,-3.48,-5.68,-9.16,,,
233,Holy Cross,MAAC,,9,19,64.9,70.2,-5.29,,-3.19,,-9.22,0.00,-9.23,,,
234,Towson,ECC,,14,16,70.3,71.0,-0.77,,-6.56,,-9.19,-0.40,-9.59,,,
235,Mercer,TAAC,,12,16,69.4,70.4,-0.93,,-7.62,,-7.02,-2.68,-9.70,,,
236,Saint Francis (PA),ECACM,,11,16,78.3,79.0,-0.67,,-6.76,,1.07,-10.78,-9.71,,,
237,Detroit Mercy,MW Coll,,7,21,65.9,75.2,-9.25,,1.48,,-6.81,-2.94,-9.75,,,
238,Campbell,Big South,,17,13,75.9,73.3,2.53,,-9.56,,-2.89,-6.90,-9.79,,,
239,Valparaiso,Mid-Cont,,12,16,65.0,70.4,-5.39,,-2.21,,-10.65,0.73,-9.92,,,
240,William & Mary,CAA,,5,22,61.0,68.6,-7.56,,-0.48,,-11.87,1.92,-9.96,,,
241,Florida A&M,MEAC,,12,16,78.5,74.5,4.04,,-9.72,,-1.37,-8.69,-10.06,,,
242,Rider,ECC,,12,16,79.3,81.0,-1.68,,-6.46,,2.20,-12.58,-10.38,,,
243,Winthrop,Big South,,8,20,66.6,68.9,-2.32,,-5.38,,-10.87,0.45,-10.41,,,
244,Robert Morris,ECACM,,13,14,64.6,64.9,-0.22,,-7.78,,-13.16,2.58,-10.57,,,
245,Coastal Carolina,Big South,,12,16,70.8,73.0,-2.29,,-5.57,,-6.47,-4.13,-10.61,,,
246,Eastern Illinois,Mid-Cont,,9,19,63.7,71.3,-7.61,,-0.55,,-10.71,-0.05,-10.76,,,
247,Radford,Big South,,15,14,71.6,71.9,-0.31,,-8.92,,-6.07,-4.69,-10.76,,,
248,Mississippi Valley State,SWAC,,13,15,80.6,83.9,-3.32,,-7.29,,2.82,-13.70,-10.88,,,
249,Grambling,SWAC,,16,14,73.0,75.5,-2.53,,-7.88,,-5.69,-5.54,-11.23,,,
250,Alabama State,SWAC,,14,14,82.0,82.7,-0.68,,-11.13,,3.72,-15.57,-11.85,,,
251,Brown,Ivy,,9,18,79.1,85.9,-6.78,,-3.95,,1.52,-13.58,-12.06,,,
252,Texas State,GSC,,13,15,74.1,76.6,-2.46,,-7.18,,-2.30,-9.76,-12.06,,,
253,Western Carolina,Southern,,10,19,68.2,73.6,-5.31,,-3.76,,-8.45,-3.65,-12.10,,,
254,UCF,Ind,,12,15,71.1,74.4,-3.22,,-7.01,,-7.03,-5.12,-12.14,,,
255,VMI,Southern,,11,17,71.1,75.8,-4.68,,-4.24,,-5.81,-6.47,-12.28,,,
256,UT Arlington,Southland,,10,18,78.8,82.0,-3.21,,-6.47,,-1.06,-11.74,-12.80,,,
257,Vermont,ECACN,,5,23,76.7,84.2,-7.50,,-4.64,,0.93,-13.95,-13.02,,,
