Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
170,Montana State,Big Sky,,11,17,68.1,67.5,0.64,,-1.16,,-0.28,-2.60,-2.88,,,
171,Eastern Kentucky,OVC,,16,13,67.4,64.8,2.62,,-2.46,,-4.97,2.04,-2.94,,,
172,The Citadel,Southern,,18,11,77.5,75.1,2.41,,-3.16,,5.15,-8.11,-2.96,,,
173,UC Santa Barbara,PCAA,,12,16,68.5,70.1,-1.64,,-0.38,,-2.45,-0.70,-3.15,,,
174,Davidson,Southern,,10,19,69.6,71.7,-2.10,,-0.22,,-2.87,-0.46,-3.33,,,
175,UC Irvine,PCAA,,13,17,75.9,77.4,-1.43,,-0.69,,7.05,-10.42,-3.37,,,
176,Little Rock,TAAC,,17,13,71.9,69.6,2.30,,-5.70,,-1.14,-2.43,-3.56,,,
177,La Salle,MAAC,,15,13,73.6,74.9,-1.29,,-2.28,,4.08,-7.65,-3.57,,,
178,New Orleans,Ind,,11,19,66.3,70.4,-4.07,,1.49,,-3.37,-0.21,-3.58,,,
179,Bowling Green State,MAC,,12,15,64.9,69.6,-4.70,,-1.06,,-2.76,-0.83,-3.59,,,
180,Pennsylvania,Ivy,,13,14,67.9,67.3,0.59,,-4.27,,-0.87,-2.81,-3.67,,,
181,Nicholls State,GSC,,17,10,70.8,66.9,3.96,,-8.83,,-1.23,-2.48,-3.70,,,
182,Massachusetts,A-10,,13,15,63.5,65.5,-2.07,,-1.69,,-4.05,0.29,-3.76,,,
183,Cornell,Ivy,,14,12,62.0,58.7,3.35,,-6.10,,-8.16,4.35,-3.80,,,
184,Samford,TAAC,,18,12,74.5,70.7,3.87,,-6.98,,1.60,-5.42,-3.82,,,
185,Army,MAAC,,16,13,66.8,66.2,0.52,,-3.65,,-5.80,1.76,-4.04,,,
186,Idaho State,Big Sky,,15,18,74.0,74.0,0.00,,-2.05,,3.24,-7.29,-4.05,,,
187,Portland,WCAC,,14,14,62.8,64.3,-1.46,,-0.13,,-6.74,2.66,-4.08,,,
188,Northern Illinois,MAC,,11,16,69.1,71.9,-2.78,,1.50,,-2.04,-2.10,-4.14,,,
189,Saint Peter's,MAAC,,15,14,63.9,62.3,1.59,,-5.31,,-8.52,4.17,-4.35,,,
190,Texas Southern,SWAC,,11,17,71.9,70.9,1.00,,-4.34,,-2.71,-1.71,-4.42,,,
191,VMI,Southern,,16,14,62.1,60.5,1.57,,-2.43,,-11.28,6.77,-4.51,,,
192,Arkansas State,Southland,,14,14,65.8,66.1,-0.32,,-1.68,,-7.36,2.80,-4.56,,,
193,Marist,ECACM,,17,12,63.4,58.4,5.00,,-8.32,,-11.09,6.52,-4.57,,,
194,Niagara,ECACN,,16,12,70.8,68.5,2.25,,-4.76,,-0.58,-4.03,-4.61,,,
195,FDU,ECACM,,21,10,68.1,64.2,3.87,,-7.61,,-6.13,1.45,-4.68,,,
196,Western Carolina,Southern,,14,14,72.5,70.0,2.57,,-4.73,,1.65,-6.35,-4.69,,,
197,Appalachian State,Southern,,14,14,72.0,68.9,3.11,,-2.18,,-4.33,-0.64,-4.97,,,
198,Texas-Rio Grande Valley,Ind,,12,16,67.2,67.3,-0.04,,-2.39,,-3.47,-1.75,-5.22,,,
199,Central Michigan,MAC,,9,18,70.8,74.7,-3.89,,0.37,,-0.85,-4.82,-5.68,,,
200,Utica,Ind,,15,12,65.9,61.4,4.48,,-6.34,,-8.15,2.42,-5.73,,,
201,Air Force,WAC,,8,20,64.3,67.1,-2.89,,-0.31,,-6.64,0.53,-6.11,,,
202,New Mexico State,PCAA,,7,20,65.9,74.8,-8.89,,1.06,,0.19,-6.32,-6.12,,,
203,Loyola Marymount,WCAC,,11,16,68.5,69.1,-0.63,,-1.39,,-1.86,-4.32,-6.18,,,
204,North Carolina A&T,MEAC,,19,10,71.6,66.7,4.93,,-9.11,,-3.27,-2.99,-6.27,,,
205,Loyola (MD),ECACM,,16,14,69.1,68.6,0.53,,-6.58,,-2.46,-4.04,-6.51,,,
206,Western Illinois,Mid-Cont,,14,14,69.1,71.0,-1.96,,-4.00,,-2.67,-3.87,-6.55,,,
207,Bucknell,ECC,,19,10,71.4,66.9,4.55,,-8.90,,-2.55,-4.08,-6.62,,,
208,Columbia,Ivy,,13,13,59.8,61.2,-1.46,,-4.87,,-10.45,3.78,-6.67,,,
209,Idaho,Big Sky,,8,22,69.7,76.4,-6.73,,0.22,,1.82,-8.52,-6.70,,,
210,Stetson,Ind,,12,16,66.6,71.1,-4.50,,-0.73,,-4.62,-2.48,-7.10,,,
211,Charlotte,Sun Belt,,5,23,69.1,77.0,-7.89,,3.48,,0.90,-8.10,-7.20,,,
212,Akron,OVC,,12,14,62.9,63.7,-0.85,,-4.29,,-10.38,3.04,-7.33,,,
