Rk,School,G,W,L,W-L%,SRS,SOS,Conf_W,Conf_L,Home_W,Home_L,Away_W,Away_L,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
144,Maryland NCAA,34,28,6,0.824,26.13,9.04,13.0,3.0,14,1,7,3,84.5,66.4,40.1,30.7,62.0,0.495,5.41,14.8,0.365,17.7,25.2,0.701,13.6,39.5,19.8,12.7,5.94,16.7,19.8
145,Maryland-Baltimore County,28,19,9,0.679,-4.41,-8.2,17.0,3.0,11,2,8,4,67.4,63.6,40.2,23.7,52.5,0.451,5.5,15.4,0.358,14.5,21.7,0.669,12.1,36.1,14.4,7.36,3.25,17.4,19.9
146,Maryland-Eastern Shore,27,10,17,0.37,-13.55,-11.0,7.0,11.0,6,4,3,12,70.7,73.3,40.4,25.3,59.0,0.428,5.59,15.0,0.373,14.6,22.4,0.652,14.3,36.6,10.8,7.22,2.3,15.5,19.8
147,Massachusetts,30,14,16,0.467,6.47,6.04,9.0,7.0,9,5,3,10,64.3,63.9,40.7,23.7,56.4,0.421,4.83,14.1,0.344,12.0,20.0,0.599,13.8,38.3,12.3,5.53,5.37,12.3,20.0
148,McNeese State,28,13,15,0.464,-8.39,-7.21,11.0,7.0,8,3,4,11,74.8,75.9,,26.9,64.9,0.414,7.18,20.6,0.349,13.8,21.8,0.633,13.0,35.6,15.3,11.4,3.57,15.1,19.2
149,Memphis,28,13,15,0.464,5.49,5.42,6.0,10.0,11,5,2,9,76.5,76.4,40.4,27.9,63.0,0.443,4.61,16.6,0.277,16.0,22.9,0.7,13.7,38.0,13.8,9.75,5.75,18.4,21.9
150,Mercer,26,8,18,0.308,-17.38,-7.26,5.0,11.0,5,6,3,11,63.8,73.2,,22.3,58.5,0.381,5.27,18.4,0.286,13.9,21.3,0.655,13.6,35.3,10.2,7.42,2.69,14.6,18.2
151,Miami (FL) NCAA,30,23,7,0.767,16.8,9.2,15.0,3.0,10,2,10,4,72.6,65.0,40.2,26.4,55.7,0.473,4.1,12.3,0.333,15.8,22.6,0.699,13.0,39.3,15.3,8.63,5.27,19.2,17.4
152,Miami (OH) NCAA,32,24,8,0.75,11.6,4.41,15.0,3.0,12,0,7,6,67.6,60.4,,24.0,53.4,0.449,6.03,17.9,0.337,13.6,17.8,0.765,9.81,32.5,12.1,6.72,1.94,11.9,18.3
153,Michigan,31,12,19,0.387,8.49,11.69,5.0,11.0,8,5,2,9,65.6,68.8,40.2,22.1,52.5,0.421,5.94,17.1,0.347,15.5,20.6,0.752,11.3,35.7,10.9,5.26,3.29,15.1,20.0
154,Michigan State NCAA,38,33,5,0.868,22.64,10.91,15.0,1.0,14,0,10,3,71.7,59.5,40.0,26.8,56.6,0.474,4.5,13.2,0.34,13.5,18.4,0.733,14.8,36.3,15.0,7.84,2.63,14.0,18.1
155,Middle Tennessee,31,12,19,0.387,-8.81,-4.77,9.0,9.0,9,6,3,9,69.1,71.7,40.3,24.7,53.3,0.463,6.61,18.6,0.355,13.2,18.3,0.721,10.9,31.3,14.3,9.48,3.32,17.4,17.8
156,Milwaukee,27,8,19,0.296,-7.01,0.37,5.0,9.0,5,7,3,11,63.5,69.4,,22.3,53.3,0.418,4.81,14.9,0.324,14.1,20.0,0.704,10.9,31.8,10.9,6.15,1.44,15.0,19.3
